i;date;currency;open;high;low;close;volume
0;2023-11-17 19:45:00;AAPL;189.8500;189.8500;189.6900;189.6900;6147
1;2023-11-17 19:30:00;AAPL;189.8900;189.9000;189.7700;189.8250;2007
2;2023-11-17 19:15:00;AAPL;189.9000;189.9000;189.8300;189.8800;1744
3;2023-11-17 19:00:00;AAPL;189.9600;189.9600;189.8300;189.9000;2331
4;2023-11-17 18:45:00;AAPL;189.8200;189.9800;189.8100;189.9600;1786
5;2023-11-17 18:30:00;AAPL;189.8800;189.9300;189.7600;189.9000;1069
6;2023-11-17 18:15:00;AAPL;189.9650;189.9800;189.8750;189.8900;2715
7;2023-11-17 18:00:00;AAPL;189.9450;190.0000;189.8900;189.9500;1897
8;2023-11-17 17:45:00;AAPL;189.9200;190.0600;189.8600;189.8900;13503
9;2023-11-17 17:30:00;AAPL;189.8800;202.4140;189.7900;189.9200;4049
10;2023-11-17 17:15:00;AAPL;190.0000;190.0300;189.8200;189.9000;21527
11;2023-11-17 17:00:00;AAPL;189.8900;190.0400;189.6900;190.0300;589500
12;2023-11-17 16:45:00;AAPL;189.8900;189.9900;189.6900;189.9400;108853
13;2023-11-17 16:30:00;AAPL;189.7850;189.9000;189.6500;189.8950;181453
14;2023-11-17 16:15:00;AAPL;189.6900;189.9000;189.6400;189.7850;587890
15;2023-11-17 16:00:00;AAPL;189.7400;189.7500;189.5800;189.6450;14378620
16;2023-11-17 15:45:00;AAPL;189.7100;189.9200;189.5200;189.7100;3342947
17;2023-11-17 15:30:00;AAPL;189.8850;189.9600;189.6100;189.7090;2038765
18;2023-11-17 15:15:00;AAPL;189.9500;190.1800;189.8200;189.8880;1762348
19;2023-11-17 15:00:00;AAPL;189.9700;189.9900;189.8100;189.9430;1300436
20;2023-11-17 14:45:00;AAPL;189.7900;189.9700;189.7000;189.9700;878205
21;2023-11-17 14:30:00;AAPL;189.7350;189.8500;189.5800;189.7900;834154
22;2023-11-17 14:15:00;AAPL;189.7540;189.9000;189.6700;189.7350;808189
23;2023-11-17 14:00:00;AAPL;189.5400;189.9000;189.5350;189.7550;1252702
24;2023-11-17 13:45:00;AAPL;189.5030;189.5600;189.3500;189.5390;624511
25;2023-11-17 13:30:00;AAPL;189.4900;189.7400;189.4900;189.5000;988661
26;2023-11-17 13:15:00;AAPL;189.3010;189.6100;189.2730;189.4850;946313
